#
#  Cluster report 
#[ Dataset prefix      = model33f_blink ]
#[ Threshold vol       = [1] 'groupA:t' ]
#[ Supplement dat vol  = [1] 'groupA:t' ]
#[ Option summary      = -bisided,p=0.005,clust_nvox,93,NN1 ]
#[ Threshold value(s)  = left-tail p=0.005000 -> thr=-3.118824;  right-tail p=0.005000 -> thr=3.118824 ]
#[ Aux. stat. info.    = DEGREES-of-FREEDOM : 22  ]
#[ Nvoxel threshold    = 93;  Volume threshold = 2268.177 ]
#[ Single voxel volume = 24.389 (microliters) ]
#[ Neighbor type, NN   = 1 ]
#[ Voxel datum type    = short ]
#[ Voxel dimensions    = 2.900 mm X 2.900 mm X 2.900 mm ]
#[ Coordinates Order   = RAI ]
#[ Mask                = /home/span/dopa/midaffemo/ROIs/glm_mask_gm.nii.gz ]
#[ Mean and SEM based on signed voxel intensities ]
#
#Volume  CM RL  CM AP  CM IS  minRL  maxRL  minAP  maxAP  minIS  maxIS    Mean     SEM    Max Int  MI RL  MI AP  MI IS
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
    392  -56.2   14.4   12.0  -68.2  -39.2   -6.7   36.8   -4.1   33.6    3.521   0.0156   4.8921  -59.5    4.9    4.6 
    245   55.9   17.5   12.8   36.2   68.2    2.1   31.1    1.7   24.9   3.6962   0.0297   5.5849   56.5   16.6   16.2 
    204   30.6   37.9   60.9   18.8   42.0   28.2   51.3   48.1   74.2   3.4603   0.0162   4.0956   21.8   36.8   62.6 
    172  -51.3   60.8   -5.6  -62.3  -39.2   51.3   71.7  -21.5    7.5   3.6395   0.0271   4.7121  -53.7   62.9   -4.1 
    168  -28.2   32.3   63.3  -42.1  -18.8   22.3   45.6   45.2   74.2   3.4358   0.0197   4.5534  -36.3   39.8   68.4 
    127  -19.7   59.1  -61.8  -42.1   -1.5   48.4   74.6  -67.9  -53.4   6.7204   0.3672   27.754  -13.1   54.2  -65.0 
    127  -32.0   47.9   54.2  -42.1  -21.8   36.8   62.9   39.4   71.3   3.5726   0.0374   5.8901  -24.7   60.1   71.3 
    117   14.7   53.7   56.0    4.3   30.4   42.7   65.8   45.2   68.4   3.4972   0.0286    5.002   24.7   65.8   56.8 
    113  -20.5   50.3  -24.2  -33.3   -7.2   19.4   68.8  -33.1  -15.7   3.4419   0.0239   4.2329  -18.8   62.9  -18.6 
     98   10.6   64.7  -21.0   -4.3   18.8   51.3   74.6  -30.2  -12.8   3.4613   0.0249   4.1047   15.9   60.1  -18.6 
     93   44.8   22.3   42.3   36.2   56.5   13.7   39.8   33.6   51.0   3.4219   0.0256   4.0468   45.0   22.3   36.5 
#------  -----  -----  -----  -----  -----  -----  -----  -----  -----  -------  -------  -------  -----  -----  -----
#  1856   -9.9   37.6   13.8                                             3.7488   0.0322                             
